Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
ELAC2,ENSG00000006744,ElaC ribonuclease Z 2,Q9BQ52,605367.0,ELAC2,60528.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SCIN,ENSG00000006747,Scinderin,Q9Y6U3,613416.0,SCIN,85477.0,Plasma membrane,Cytosol,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ARSD,ENSG00000006756,Arylsulfatase D,P51689,300002.0,ARSD,414.0,Lipid droplets;Vesicles,,,Lipid droplets (GO:0005811);Vesicles (GO:0043231)
PNPLA4,ENSG00000006757,Patatin like phospholipase domain containing 4,P41247,300102.0,PNPLA4,8228.0,,,,
MYH13,ENSG00000006788,Myosin heavy chain 13,Q9UKX3,603487.0,MYH13,8735.0,,,,
ADIPOR2,ENSG00000006831,Adiponectin receptor 2,Q86V24,607946.0,ADIPOR2,79602.0,,,,
CDKL3,ENSG00000006837,Cyclin dependent kinase like 3,Q8IVW4,608459.0,CDKL3,51265.0,Nucleoplasm;Vesicles,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
UPP2,ENSG00000007001,Uridine phosphorylase 2,O95045,617340.0,UPP2,151531.0,Nucleoplasm,Mitochondria;Vesicles,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
PRSS21,ENSG00000007038,Serine protease 21,Q9Y6M0,608159.0,PRSS21,10942.0,Cytosol;Mid piece;Principal piece,,,Cytosol (GO:0005829);Mid piece ();Principal piece ()
MARK4,ENSG00000007047,Microtubule affinity regulating kinase 4,Q96L34,606495.0,MARK4,57787.0,Cytosol,,,Cytosol (GO:0005829)
PROM1,ENSG00000007062,Prominin 1,O43490,604365.0,PROM1,8842.0,Plasma membrane,,,Plasma membrane (GO:0005886)
CCDC124,ENSG00000007080,Coiled-coil domain containing 124,Q96CT7,,CCDC124,115098.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
CEACAM21,ENSG00000007129,CEA cell adhesion molecule 21,Q3KPI0,618191.0,CEACAM21,90273.0,,,,
PAFAH1B1,ENSG00000007168,Platelet activating factor acetylhydrolase 1b regulatory subunit 1,P43034,601545.0,PAFAH1B1,5048.0,Centrosome,Mid piece,,Centrosome (GO:0005813);Mid piece ()
NOS2,ENSG00000007171,Nitric oxide synthase 2,P35228,163730.0,NOS2,4843.0,,,,
DNAH9,ENSG00000007174,Dynein axonemal heavy chain 9,Q9NYC9,603330.0,DNAH9,1770.0,End piece;Flagellar centriole,Cytosol,,Cytosol (GO:0005829);End piece ();Flagellar centriole ()
BLTP2,ENSG00000007202,Bridge-like lipid transfer protein family member 2,Q14667,610664.0,BLTP2,9703.0,Cytosol;Nuclear speckles,,,Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
SLC13A2,ENSG00000007216,Solute carrier family 13 member 2,Q13183,604148.0,SLC13A2,9058.0,,,,
GAS7,ENSG00000007237,Growth arrest specific 7,O60861,603127.0,GAS7,8522.0,Plasma membrane,Actin filaments;Focal adhesion sites,,Actin filaments (GO:0015629);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
TRAPPC6A,ENSG00000007255,Trafficking protein particle complex subunit 6A,O75865,610396.0,TRAPPC6A,79090.0,,,,
MATK,ENSG00000007264,Megakaryocyte-associated tyrosine kinase,P42679,600038.0,MATK,4145.0,Microtubules,Centriolar satellite;Cytokinetic bridge;Cytosol;Mitotic spindle,,Centriolar satellite (GO:0034451);Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Microtubules (GO:0015630);Mitotic spindle (GO:0072686)
CEACAM7,ENSG00000007306,CEA cell adhesion molecule 7,Q14002,619160.0,CEACAM7,1087.0,Plasma membrane,Cytosol,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
CD79B,ENSG00000007312,CD79b molecule,P40259,147245.0,CD79B,974.0,Plasma membrane,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
SCN4A,ENSG00000007314,Sodium voltage-gated channel alpha subunit 4,P35499,603967.0,SCN4A,6329.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
ST7L,ENSG00000007341,Suppression of tumorigenicity 7 like,Q8TDW4,617640.0,ST7L,54879.0,Centrosome,,,Centrosome (GO:0005813)
TKTL1,ENSG00000007350,Transketolase like 1,P51854,300044.0,TKTL1,8277.0,Cytosol,,,Cytosol (GO:0005829)
PAX6,ENSG00000007372,Paired box 6,P26367,607108.0,PAX6,5080.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
RPUSD1,ENSG00000007376,RNA pseudouridine synthase domain containing 1,Q9UJJ7,,RPUSD1,113000.0,Golgi apparatus,Cell Junctions;Cytosol;Nucleoplasm,,Cell Junctions (GO:0030054);Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
RHBDF1,ENSG00000007384,Rhomboid 5 homolog 1,Q96CC6,614403.0,RHBDF1,64285.0,Vesicles,,,Vesicles (GO:0043231)
LUC7L,ENSG00000007392,LUC7 like,Q9NQ29,607782.0,LUC7L,55692.0,Nucleoplasm,Mitochondria,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
CACNA2D2,ENSG00000007402,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,Q9NY47,607082.0,CACNA2D2,9254.0,Cytosol,Flagellar centriole;Mid piece;Plasma membrane,,Cytosol (GO:0005829);Flagellar centriole ();Mid piece ();Plasma membrane (GO:0005886)
BAIAP3,ENSG00000007516,BAI1 associated protein 3,O94812,604009.0,BAIAP3,8938.0,,,,
TSR3,ENSG00000007520,TSR3 ribosome maturation factor,Q9UJK0,617058.0,TSR3,115939.0,Cytosol,Golgi apparatus,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
PIGQ,ENSG00000007541,Phosphatidylinositol glycan anchor biosynthesis class Q,Q9BRB3,605754.0,PIGQ,9091.0,Golgi apparatus;Vesicles,Nucleoplasm,,Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
CRAMP1,ENSG00000007545,Cramped chromatin regulator homolog 1,Q96RY5,,CRAMP1,57585.0,Nucleoplasm,Cytosol;Nucleoli,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
TEAD3,ENSG00000007866,TEA domain transcription factor 3,Q99594,603170.0,TEAD3,7005.0,,,,
SELE,ENSG00000007908,Selectin E,P16581,131210.0,SELE,6401.0,,,,
DNAJC11,ENSG00000007923,DnaJ heat shock protein family (Hsp40) member C11,Q9NVH1,614827.0,DNAJC11,55735.0,Mitochondria,,,Mitochondria (GO:0005739)
FMO3,ENSG00000007933,Flavin containing dimethylaniline monoxygenase 3,P31513,136132.0,FMO3,2328.0,,,,
MYLIP,ENSG00000007944,Myosin regulatory light chain interacting protein,Q8WY64,610082.0,MYLIP,29116.0,,,,
NOX1,ENSG00000007952,NADPH oxidase 1,Q9Y5S8,300225.0,NOX1,27035.0,,,,
E2F2,ENSG00000007968,E2F transcription factor 2,Q14209,600426.0,E2F2,1870.0,,,,
PSMB1,ENSG00000008018,Proteasome 20S subunit beta 1,P20618,602017.0,PSMB1,5689.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SYN1,ENSG00000008056,Synapsin I,P17600,313440.0,SYN1,6853.0,,,,
JARID2,ENSG00000008083,Jumonji and AT-rich interaction domain containing 2,Q92833,601594.0,JARID2,3720.0,Mitochondria;Nucleoplasm,,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
CDKL5,ENSG00000008086,Cyclin dependent kinase like 5,O76039,300203.0,CDKL5,6792.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CAMK1G,ENSG00000008118,Calcium/calmodulin dependent protein kinase IG,Q96NX5,614994.0,CAMK1G,57172.0,Cytosol;Nucleoplasm,Basal body;Primary cilium,,Basal body (GO:0036064);Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Primary cilium (GO:0005929)
CDK11A,ENSG00000008128,Cyclin dependent kinase 11A,Q9UQ88,116951.0,CDK11A,728642.0,Nuclear speckles,Cytosol,,Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
NADK,ENSG00000008130,NAD kinase,O95544,611616.0,NADK,65220.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
TFAP2B,ENSG00000008196,Transcription factor AP-2 beta,Q92481,601601.0,TFAP2B,7021.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
TFAP2D,ENSG00000008197,Transcription factor AP-2 delta,Q7Z6R9,610161.0,TFAP2D,83741.0,Nucleoplasm,Golgi apparatus;Vesicles,,Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
DLEC1,ENSG00000008226,DLEC1 cilia and flagella associated protein,Q9Y238,604050.0,DLEC1,9940.0,Cytosol,,,Cytosol (GO:0005829)
CYTH3,ENSG00000008256,Cytohesin 3,O43739,605081.0,CYTH3,9265.0,Cytosol,Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ADAM22,ENSG00000008277,ADAM metallopeptidase domain 22,Q9P0K1,603709.0,ADAM22,53616.0,Cell Junctions,,,Cell Junctions (GO:0030054)
SYPL1,ENSG00000008282,Synaptophysin like 1,Q16563,616665.0,SYPL1,6856.0,,,,
CYB561,ENSG00000008283,Cytochrome b561,P49447,600019.0,CYB561,1534.0,,,,
SPAG9,ENSG00000008294,Sperm associated antigen 9,O60271,605430.0,SPAG9,9043.0,Centriolar satellite;Cytosol,,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829)
CELSR3,ENSG00000008300,Cadherin EGF LAG seven-pass G-type receptor 3,Q9NYQ7,604264.0,CELSR3,1951.0,,,,
AASS,ENSG00000008311,Aminoadipate-semialdehyde synthase,Q9UDR5,605113.0,AASS,10157.0,Mitochondria,Nucleoplasm;Vesicles,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
PLEKHG6,ENSG00000008323,Pleckstrin homology and RhoGEF domain containing G6,Q3KR16,611743.0,PLEKHG6,55200.0,Cell Junctions,Centrosome,,Cell Junctions (GO:0030054);Centrosome (GO:0005813)
SS18L2,ENSG00000008324,SS18 like 2,Q9UHA2,606473.0,SS18L2,51188.0,Mitochondria;Nucleoli,Nucleoplasm,,Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
MPND,ENSG00000008382,MPN domain containing,Q8N594,,MPND,84954.0,Nucleoli rim,Nucleoplasm,,Nucleoli rim (GO:0005730);Nucleoplasm (GO:0005654)
MGST1,ENSG00000008394,Microsomal glutathione S-transferase 1,P10620,138330.0,MGST1,4257.0,Mitochondria,Endoplasmic reticulum,,Endoplasmic reticulum (GO:0005783);Mitochondria (GO:0005739)
CRY1,ENSG00000008405,Cryptochrome circadian regulator 1,Q16526,601933.0,CRY1,1407.0,Microtubules;Nuclear membrane;Nucleoplasm,,,Microtubules (GO:0015630);Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
PGLYRP1,ENSG00000008438,Peptidoglycan recognition protein 1,O75594,604963.0,PGLYRP1,8993.0,Vesicles,Cytosol;Nucleoplasm,Predicted to be secreted,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
NFIX,ENSG00000008441,Nuclear factor I X,Q14938,164005.0,NFIX,4784.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ST3GAL1,ENSG00000008513,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",Q11201,607187.0,ST3GAL1,6482.0,,,,
MMP25,ENSG00000008516,Matrix metallopeptidase 25,Q9NPA2,608482.0,MMP25,64386.0,Plasma membrane,,Predicted to be secreted,Plasma membrane (GO:0005886)
IL32,ENSG00000008517,Interleukin 32,P24001,606001.0,IL32,9235.0,,,,
PKD1,ENSG00000008710,"Polycystin 1, transient receptor potential channel interacting",P98161,601313.0,PKD1,5310.0,,,,
MAPK8IP2,ENSG00000008735,Mitogen-activated protein kinase 8 interacting protein 2,Q13387,607755.0,MAPK8IP2,23542.0,,,,
MED24,ENSG00000008838,Mediator complex subunit 24,O75448,607000.0,MED24,9862.0,,,,
RHOBTB2,ENSG00000008853,Rho related BTB domain containing 2,Q9BYZ6,607352.0,RHOBTB2,23221.0,Plasma membrane,,,Plasma membrane (GO:0005886)
HEATR5B,ENSG00000008869,HEAT repeat containing 5B,Q9P2D3,619627.0,HEATR5B,54497.0,Golgi apparatus;Vesicles,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
SEC62,ENSG00000008952,"SEC62 homolog, preprotein translocation factor",Q99442,602173.0,SEC62,7095.0,Endoplasmic reticulum,Intermediate filaments,,Endoplasmic reticulum (GO:0005783);Intermediate filaments (GO:0045111)
RPS20,ENSG00000008988,Ribosomal protein S20,P60866,603682.0,RPS20,6224.0,Cytosol;Endoplasmic reticulum,,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783)
CSDE1,ENSG00000009307,Cold shock domain containing E1,O75534,191510.0,CSDE1,7812.0,Cytosol,Golgi apparatus;Plasma membrane,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
UBE3C,ENSG00000009335,Ubiquitin protein ligase E3C,Q15386,614454.0,UBE3C,9690.0,Cytosol,Lipid droplets;Vesicles,,Cytosol (GO:0005829);Lipid droplets (GO:0005811);Vesicles (GO:0043231)
REV3L,ENSG00000009413,"REV3 like, DNA directed polymerase zeta catalytic subunit",O60673,602776.0,REV3L,5980.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
TENM1,ENSG00000009694,Teneurin transmembrane protein 1,Q9UKZ4,300588.0,TENM1,10178.0,Nucleoplasm;Plasma membrane,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
PAX7,ENSG00000009709,Paired box 7,P23759,167410.0,PAX7,5081.0,,,,
MASP2,ENSG00000009724,MBL associated serine protease 2,O00187,605102.0,MASP2,10747.0,Golgi apparatus,,Predicted to be secreted,Golgi apparatus (GO:0005794)
IYD,ENSG00000009765,Iodotyrosine deiodinase,Q6PHW0,612025.0,IYD,389434.0,Plasma membrane,,,Plasma membrane (GO:0005886)
FAM76A,ENSG00000009780,Family with sequence similarity 76 member A,Q8TAV0,,FAM76A,199870.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
TRAF3IP3,ENSG00000009790,TRAF3 interacting protein 3,Q9Y228,608255.0,TRAF3IP3,80342.0,Vesicles,,,Vesicles (GO:0043231)
POMT2,ENSG00000009830,Protein O-mannosyltransferase 2,Q9UKY4,607439.0,POMT2,29954.0,Nucleoplasm,Cytosol;Nucleoli,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
VTA1,ENSG00000009844,Vesicle trafficking 1,Q9NP79,610902.0,VTA1,51534.0,Cytosol;Nucleoplasm;Vesicles,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
MLXIPL,ENSG00000009950,MLX interacting protein like,Q9NP71,605678.0,MLXIPL,51085.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
BAZ1B,ENSG00000009954,Bromodomain adjacent to zinc finger domain 1B,Q9UIG0,605681.0,BAZ1B,9031.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
RANBP9,ENSG00000010017,RAN binding protein 9,Q96S59,603854.0,RANBP9,10048.0,Nucleoplasm,Cytosol;Nuclear bodies,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ETV7,ENSG00000010030,ETS variant transcription factor 7,Q9Y603,605255.0,ETV7,51513.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SPRTN,ENSG00000010072,SprT-like N-terminal domain,Q9H040,616086.0,SPRTN,83932.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
METTL13,ENSG00000010165,"Methyltransferase 13, eEF1A lysine and N-terminal methyltransferase",Q8N6R0,617987.0,METTL13,51603.0,Cytosol,,,Cytosol (GO:0005829)
DYRK4,ENSG00000010219,Dual specificity tyrosine phosphorylation regulated kinase 4,Q9NR20,609181.0,DYRK4,8798.0,Vesicles,,,Vesicles (GO:0043231)
ZNF207,ENSG00000010244,Zinc finger protein 207,O43670,603428.0,ZNF207,7756.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
UQCRC1,ENSG00000010256,Ubiquinol-cytochrome c reductase core protein 1,P31930,191328.0,UQCRC1,7384.0,Mitochondria,,,Mitochondria (GO:0005739)
STARD3NL,ENSG00000010270,STARD3 N-terminal like,O95772,611759.0,STARD3NL,83930.0,Vesicles,,,Vesicles (GO:0043231)
CD9,ENSG00000010278,CD9 molecule,P21926,143030.0,CD9,928.0,Plasma membrane,,,Plasma membrane (GO:0005886)
HHATL,ENSG00000010282,Hedgehog acyltransferase like,Q9HCP6,608116.0,HHATL,57467.0,,,,
NCAPD2,ENSG00000010292,Non-SMC condensin I complex subunit D2,Q15021,615638.0,NCAPD2,9918.0,Cytosol;Nucleoplasm,Centriolar satellite;Nucleoli,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
IFFO1,ENSG00000010295,Intermediate filament family orphan 1,Q0D2I5,610495.0,IFFO1,25900.0,,,,
GIPR,ENSG00000010310,Gastric inhibitory polypeptide receptor,P48546,137241.0,GIPR,2696.0,Vesicles,,,Vesicles (GO:0043231)
PHF7,ENSG00000010318,PHD finger protein 7,Q9BWX1,620057.0,PHF7,51533.0,Nuclear speckles;Nucleoplasm,Golgi apparatus,,Golgi apparatus (GO:0005794);Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
SEMA3G,ENSG00000010319,Semaphorin 3G,Q9NS98,,SEMA3G,56920.0,,,,
NISCH,ENSG00000010322,Nischarin,Q9Y2I1,615507.0,NISCH,11188.0,Cytosol;Nucleoplasm,Cytokinetic bridge;Microtubules;Vesicles,,Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Microtubules (GO:0015630);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
STAB1,ENSG00000010327,Stabilin 1,Q9NY15,608560.0,STAB1,23166.0,Cytosol,Nucleoplasm;Plasma membrane,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
FUZ,ENSG00000010361,Fuzzy planar cell polarity protein,Q9BT04,610622.0,FUZ,80199.0,Cytosol,,,Cytosol (GO:0005829)
SLC6A13,ENSG00000010379,Solute carrier family 6 member 13,Q9NSD5,615097.0,SLC6A13,6540.0,Mitochondria,Cytosol;Nucleoli;Nucleoplasm,,Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
IDS,ENSG00000010404,Iduronate 2-sulfatase,P22304,300823.0,IDS,3423.0,,,,
PRSS3,ENSG00000010438,Serine protease 3,P35030,613578.0,PRSS3,5646.0,Vesicles,Endoplasmic reticulum,Predicted to be secreted,Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
ZNF200,ENSG00000010539,Zinc finger protein 200,P98182,603231.0,ZNF200,7752.0,Mitochondria,,,Mitochondria (GO:0005739)
CD4,ENSG00000010610,CD4 molecule,P01730,186940.0,CD4,920.0,Plasma membrane,,,Plasma membrane (GO:0005886)
LRRC23,ENSG00000010626,Leucine rich repeat containing 23,Q53EV4,620708.0,LRRC23,10233.0,Nucleoli;Nucleoli rim,,,Nucleoli (GO:0005730);Nucleoli rim (GO:0005730)
BTK,ENSG00000010671,Bruton tyrosine kinase,Q06187,300300.0,BTK,695.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
HFE,ENSG00000010704,Homeostatic iron regulator,Q30201,613609.0,HFE,3077.0,Plasma membrane,Nucleoplasm,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
SCMH1,ENSG00000010803,Scm polycomb group protein homolog 1,Q96GD3,616396.0,SCMH1,22955.0,Nucleoplasm,Cytosol;Nuclear bodies,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
FYN,ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase",P06241,137025.0,FYN,2534.0,Plasma membrane,Cytosol,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
HIVEP2,ENSG00000010818,HIVEP zinc finger 2,P31629,143054.0,HIVEP2,3097.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
FMO1,ENSG00000010932,Flavin containing dimethylaniline monoxygenase 1,Q01740,136130.0,FMO1,2326.0,,,,
ELOA,ENSG00000011007,Elongin A,Q14241,600786.0,ELOA,6924.0,Nuclear speckles,Cytosol,,Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
LYPLA2,ENSG00000011009,Lysophospholipase 2,O95372,616143.0,LYPLA2,11313.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
CLCN6,ENSG00000011021,Chloride voltage-gated channel 6,P51797,602726.0,CLCN6,1185.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
MRC2,ENSG00000011028,Mannose receptor C type 2,Q9UBG0,612264.0,MRC2,9902.0,,,,
SLC6A7,ENSG00000011083,Solute carrier family 6 member 7,Q99884,606205.0,SLC6A7,6534.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
TSPAN9,ENSG00000011105,Tetraspanin 9,O75954,613137.0,TSPAN9,10867.0,Golgi apparatus;Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
BTBD7,ENSG00000011114,BTB domain containing 7,Q9P203,610386.0,BTBD7,55727.0,Focal adhesion sites,,,Focal adhesion sites (GO:0005925)
APBA3,ENSG00000011132,Amyloid beta precursor protein binding family A member 3,O96018,604262.0,APBA3,9546.0,Vesicles,,,Vesicles (GO:0043231)
MKS1,ENSG00000011143,MKS transition zone complex subunit 1,Q9NXB0,609883.0,MKS1,54903.0,Basal body,Nucleoli;Nucleoplasm,,Basal body (GO:0036064);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ABHD5,ENSG00000011198,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",Q8WTS1,604780.0,ABHD5,51099.0,Cytosol;Vesicles,Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ANOS1,ENSG00000011201,Anosmin 1,P23352,300836.0,ANOS1,3730.0,,,,
AKAP8L,ENSG00000011243,A-kinase anchoring protein 8 like,Q9ULX6,609475.0,AKAP8L,26993.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
MBTD1,ENSG00000011258,Mbt domain containing 1,Q05BQ5,618705.0,MBTD1,54799.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
UTP18,ENSG00000011260,UTP18 small subunit processome component,Q9Y5J1,612816.0,UTP18,51096.0,Nucleoli;Nucleoli rim,Nuclear membrane;Nucleoplasm,,Nuclear membrane (GO:0031965);Nucleoli (GO:0005730);Nucleoli rim (GO:0005730);Nucleoplasm (GO:0005654)
RNF216,ENSG00000011275,Ring finger protein 216,Q9NWF9,609948.0,RNF216,54476.0,Cytosol,Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
TTC19,ENSG00000011295,Tetratricopeptide repeat domain 19,Q6DKK2,613814.0,TTC19,54902.0,Mitochondria,,,Mitochondria (GO:0005739)
PTBP1,ENSG00000011304,Polypyrimidine tract binding protein 1,P26599,600693.0,PTBP1,5725.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
DPF1,ENSG00000011332,Double PHD fingers 1,Q92782,601670.0,DPF1,8193.0,Cytosol;Nucleoplasm,Mitochondria,,Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
SYT7,ENSG00000011347,Synaptotagmin 7,O43581,604146.0,SYT7,9066.0,,,,
LARS2,ENSG00000011376,"Leucyl-tRNA synthetase 2, mitochondrial",Q15031,604544.0,LARS2,23395.0,Mitochondria,,,Mitochondria (GO:0005739)
PIK3C2A,ENSG00000011405,Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,O00443,603601.0,PIK3C2A,5286.0,Nucleoplasm;Vesicles,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
PLAUR,ENSG00000011422,"Plasminogen activator, urokinase receptor",Q03405,173391.0,PLAUR,5329.0,Plasma membrane,,,Plasma membrane (GO:0005886)
ANLN,ENSG00000011426,"Anillin, actin binding protein",Q9NQW6,616027.0,ANLN,54443.0,Nucleoplasm,Midbody,,Midbody (GO:0030496);Nucleoplasm (GO:0005654)
WIZ,ENSG00000011451,WIZ zinc finger,O95785,619715.0,WIZ,58525.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
RABGAP1,ENSG00000011454,RAB GTPase activating protein 1,Q9Y3P9,615882.0,RABGAP1,23637.0,Cytosol,,,Cytosol (GO:0005829)
DCN,ENSG00000011465,Decorin,P07585,125255.0,DCN,1634.0,,,,
QPCTL,ENSG00000011478,Glutaminyl-peptide cyclotransferase like,Q9NXS2,,QPCTL,54814.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
PPP5C,ENSG00000011485,Protein phosphatase 5 catalytic subunit,P53041,600658.0,PPP5C,5536.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
CEP68,ENSG00000011523,Centrosomal protein 68,Q76N32,616889.0,CEP68,23177.0,Centriolar satellite;Nucleoplasm,Basal body;Cell Junctions;Cytosol,,Basal body (GO:0036064);Cell Junctions (GO:0030054);Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
MAP4K3,ENSG00000011566,Mitogen-activated protein kinase kinase kinase kinase 3,Q8IVH8,604921.0,MAP4K3,8491.0,Centriolar satellite,,,Centriolar satellite (GO:0034451)
ZBTB32,ENSG00000011590,Zinc finger and BTB domain containing 32,Q9Y2Y4,605859.0,ZBTB32,27033.0,,,,
TYROBP,ENSG00000011600,Transmembrane immune signaling adaptor TYROBP,O43914,604142.0,TYROBP,7305.0,Plasma membrane,,,Plasma membrane (GO:0005886)
LDAF1,ENSG00000011638,Lipid droplet assembly factor 1,Q96B96,611304.0,LDAF1,57146.0,Vesicles,,,Vesicles (GO:0043231)
GABRA3,ENSG00000011677,Gamma-aminobutyric acid type A receptor subunit alpha3,P34903,305660.0,GABRA3,2556.0,Plasma membrane,Nucleoplasm,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
BRCA1,ENSG00000012048,BRCA1 DNA repair associated,P38398,113705.0,BRCA1,672.0,Nuclear bodies;Nucleoplasm,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
